Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Jan 28, 2021) 4","Short Ratio (Jan 28, 2021) 4","Short % of Float (Jan 28, 2021) 4","Short % of Shares Outstanding (Jan 28, 2021) 4","Shares Short (prior month Dec 30, 2020) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),ticker,stockId,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,"Shares Short (Aug 30, 2018) 4","Short Ratio (Aug 30, 2018) 4","Short % of Float (Aug 30, 2018) 4","Short % of Shares Outstanding (Aug 30, 2018) 4","Shares Short (prior month Jul 30, 2018) 4"
0.20,9.94%,16.75%,121.07,72.70,114.67,111.89,823.14k,849.26k,131.36M,126.24M,2.48%,100.66%,2.76M,3.57,2.99%,2.10%,2.75M,3.6,3.01%,3.60,3.04%,3.46,106.82%,"Dec 30, 2020","Dec 13, 2020",,,"Dec 30, 2019","Sep 29, 2020",32.28%,48.16%,4.78%,16.62%,1.36B,10.51,2.50%,979.41M,875.99M,437.32M,3.37,6.10%,74.8M,0.58,5.66B,204.34,0.40,18.51,746.49M,574.81M,EXR,1005,,,,,,,,,,
1.77,17.89%,16.75%,42.79,14.12,39.34,31.62,3.64M,3.66M,427.21M,424.71M,0.41%,99.75%,6.83M,1.73,1.83%,1.60%,6.51M,1.56,3.67%,1.56,3.81%,2.95,70.27%,"Feb 16, 2021","Feb 01, 2021",,,"Dec 30, 2020","Dec 30, 2020",19.99%,26.91%,0.61%,4.71%,5.29B,12.39,3.70%,5.29B,,950M,2.22,1.30%,14.95B,35.01,8.72B,,,48.49,,,CFG,1010,,,,,,,,,,
1.35,21.06%,16.75%,60.16,27.04,55.53,55.97,2.15M,2.26M,261.68M,255.64M,0.77%,95.15%,4.63M,2.13,2.03%,1.77%,4.54M,0.94,1.72%,0.55,1.02%,1.13,22.53%,"Feb 07, 2021","Jan 06, 2021",1138:1000,"Jun 30, 2015","Dec 30, 2020","Dec 30, 2020",17.03%,17.53%,14.58%,472.33%,7.19B,27.23,13.50%,2.59B,1.39B,801M,4.60,-57.00%,1.33B,5.16,2.98B,708.55,1.80,0.75,953M,996.5M,MAS,1018,,,,,,,,,,
0.73,45.39%,16.75%,128.54,61.61,117.74,109.45,5.02M,4.5M,1.77B,1.76B,0.69%,75.58%,11.52M,2.16,0.67%,0.65%,9.94M,1.8,1.46%,1.53,1.22%,1.84,57.83%,"Feb 15, 2021","Jan 13, 2021",10000:4798,"Jan 01, 2013","Dec 30, 2020","Dec 30, 2020",12.99%,16.53%,,14.22%,34.61B,19.38,28.70%,19.77B,9B,4.47B,2.50,106.10%,4.73B,2.67,18.56B,58.75,,17.71,,,ABT,1092,,,,,,,,,,
1.41,2.52%,16.75%,50.23,17.12,45.53,44.90,3.1M,2.81M,268.09M,258.84M,3.36%,89.86%,6.27M,1.9,2.69%,2.36%,8.45M,0.56,1.21%,0.48,1.06%,1.40,9.65%,"Mar 31, 2021","Mar 10, 2021",2:1,"Sep 01, 2005","Dec 30, 2020","Dec 30, 2020",12.75%,16.08%,9.68%,23.39%,11.04B,41.10,5.80%,2.79B,1.84B,1.39B,5.18,30.50%,2.6B,9.77,3.34B,50.85,5.99,24.66,1.78B,1.11B,PHM,1120,,,,,,,,,,
0.91,-4.49%,16.75%,121.83,73.50,110.03,105.91,4.48M,5.33M,668.62M,591.83M,0.42%,92.03%,10.01M,2.03,1.80%,1.50%,8.72M,,,,,,0.00%,,,2:1,"Mar 19, 2018","Dec 30, 2020","Dec 30, 2020",6.45%,9.35%,1.14%,2.86%,14.85B,21.73,-5.30%,7.04B,4.48B,958M,1.40,21.50%,906M,1.33,20.68B,62.06,1.04,47.46,4.15B,3.83B,FISV,1125,,,,,,,,,,
1.00,65.95%,16.75%,199.96,90.17,189.54,166.08,3.65M,2.63M,500.77M,499.27M,0.21%,82.59%,5.21M,1.29,1.04%,1.04%,5.15M,2.72,1.44%,2.66,1.39%,3.05,35.28%,"Mar 09, 2021","Feb 15, 2021",2:1,"Jul 19, 2000","Jan 31, 2020","Oct 30, 2020",4.31%,6.99%,8.21%,30.74%,88.62B,176.54,21.30%,23.25B,8.74B,3.82B,7.54,42.00%,6.02B,12.01,15.02B,112.80,1.05,26.60,10B,5.99B,TGT,1145,,,,,,,,,,
1.04,15.40%,16.75%,108.84,54.62,100.99,91.92,1.07M,1.22M,180.23M,179.65M,1.02%,91.12%,1.65M,1.54,1.04%,0.91%,2.16M,1.12,1.12%,1.04,1.07%,1.20,74.29%,"Mar 17, 2021","Feb 16, 2021",,,"Dec 30, 2020","Dec 30, 2020",5.21%,10.25%,3.80%,8.55%,4.88B,27.07,0.10%,1.83B,751M,254M,1.40,25.40%,1.88B,10.39,3.08B,103.63,1.80,16.45,824M,628.37M,XYL,1157,,,,,,,,,,
0.79,2.12%,16.75%,110.37,62.48,90.34,89.19,1.18M,1.63M,219M,186.05M,1.34%,94.48%,4.77M,4.27,2.57%,2.18%,4.9M,,,,,,0.00%,,,2:1,"Aug 31, 2000","Dec 30, 2020","Dec 30, 2020",-11.09%,-9.05%,-4.32%,-11.35%,2.67B,12.23,36.30%,276.63M,-187.53M,-295.7M,-1.36,35.00%,1.8B,8.19,61.72M,2.36,3.74,11.90,-124.6M,-165.89M,INCY,1185,,,,,,,,,,
1.23,27.92%,16.75%,2322.04,1107.29,2129.10,1935.81,346.43k,286.23k,40.95M,40.8M,0.35%,96.27%,766.44k,1.94,1.88%,1.87%,1.08M,,,,,,0.00%,,,1:6,"Jun 15, 2003","Dec 30, 2019","Sep 29, 2020",15.68%,20.58%,5.25%,25.68%,8.9B,216.13,-47.60%,15.07B,2.29B,1.4B,33.69,-58.90%,11.2B,273.4,12.45B,253.43,3.17,119.96,1.74B,1.18B,BKNG,1196,,,,,,,,,,
1.20,38.07%,16.75%,193.85,79.07,178.02,147.63,12M,14.31M,1.82B,1.81B,0.20%,65.57%,18.44M,1.94,1.02%,1.02%,20.86M,,,0.88,0.48%,,0.00%,"Jan 15, 2020","Dec 12, 2019",10000:9865,"Jun 12, 2007","Oct 02, 2020","Jan 01, 2021",-8.15%,2.88%,0.54%,-4.54%,60.76B,33.57,-22.20%,21.51B,7.1B,-4.93B,-2.74,-99.20%,17.07B,9.4,58.28B,59.43,1.31,46.34,6.09B,2.47B,DIS,1226,,,,,,,,,,
1.16,5.32%,16.75%,305.96,164.19,275.50,279.95,802.27k,807.47k,187.1M,186.34M,0.36%,93.29%,2.17M,2.58,1.34%,1.16%,2.53M,2.48,0.88%,2.24,0.80%,1.07,23.86%,"Mar 17, 2021","Feb 23, 2021",2:1,"May 18, 2005","Dec 30, 2020","Dec 30, 2020",33.10%,45.45%,13.46%,136.69%,5.37B,28.63,4.60%,3.9B,2.66B,1.78B,9.39,-12.60%,2.7B,14.41,6.94B,393.82,1.95,9.42,,,MCO,1231,,,,,,,,,,
1.37,3.06%,16.75%,14.58,7.43,12.78,10.76,9.87M,11.43M,1.29B,1.29B,0.32%,84.27%,25.25M,2.76,2.25%,1.95%,24.55M,0.48,3.40%,0.48,3.44%,2.40,,"Jan 05, 2021","Dec 07, 2020",1289:1000,"Aug 31, 2017","Oct 30, 2020","Oct 30, 2020",-1.19%,6.15%,1.96%,-1.94%,26.98B,20.85,-0.10%,8.5B,4.28B,-322M,-0.25,-67.30%,3.5B,2.71,17.03B,105.80,0.88,12.47,2.24B,447.38M,HPE,1244,,,,,,,,,,
1.44,35.28%,16.75%,471.08,163.42,410.94,368.69,401.38k,556.63k,57.63M,48.13M,16.64%,76.32%,838.54k,1.93,1.99%,1.46%,1.17M,,,,,,0.00%,,,,,"Dec 30, 2020","Dec 30, 2020",17.05%,22.12%,4.57%,24.27%,841.43M,14.60,14.20%,743.66M,212.4M,143.45M,2.46,-46.30%,151.71M,2.63,58.79M,8.97,1.09,11.35,227.21M,155.57M,PAYC,1274,,,,,,,,,,
1.62,65.32%,16.75%,24.22,7.90,20.11,16.68,3.12M,4.22M,391.09M,509.4M,0.59%,97.18%,6.68M,2.79,1.72%,1.13%,6.35M,0.2,0.88%,0.20,0.88%,1.49,,"Apr 13, 2021","Mar 15, 2021",,,"Jun 29, 2020","Dec 30, 2020",-9.89%,6.40%,2.22%,-11.76%,8.72B,14.80,-2.60%,4.08B,978M,-862M,-1.46,171.80%,1.56B,2.64,2.58B,28.42,1.26,13.77,1.07B,1.06B,NWSA,1275,,,,,,,,,,
1.41,1.55%,16.75%,79.96,26.00,75.31,67.94,2.6M,1.65M,510.41M,509.44M,0.14%,83.63%,7.4M,3.03,1.52%,1.45%,7.61M,1.8,2.40%,1.80,2.40%,2.39,,"Jan 28, 2021","Jan 06, 2021",2:1,"Dec 17, 2000","Jun 26, 2020","Dec 25, 2020",-0.74%,1.85%,2.53%,-16.77%,45.9B,90.17,-23.10%,9.9B,1.57B,-337.53M,-0.66,-82.40%,5.79B,11.34,14.51B,991.92,1.78,2.80,1.8B,1.72B,SYY,1282,,,,,,,,,,
0.95,16.62%,16.75%,379.87,186.06,324.34,339.33,1.81M,1.63M,240.67M,240.32M,0.13%,85.40%,7.83M,3.95,3.26%,3.25%,6M,3.08,0.91%,2.68,0.79%,0.99,27.74%,"Mar 09, 2021","Feb 22, 2021",2:1,"May 17, 2005","Dec 30, 2020","Dec 30, 2020",31.43%,51.96%,20.24%,82.33%,7.44B,30.88,7.60%,5.35B,4.07B,2.34B,9.66,-16.10%,4.12B,17.1,4.75B,141.83,1.67,2.12,3.57B,3B,SPGI,1312,,,,,,,,,,
1.35,14.52%,16.75%,171.22,79.41,156.24,129.14,2.02M,1.72M,424M,421.15M,0.24%,82.99%,5.23M,2.47,1.24%,1.23%,6.23M,4.6,2.70%,4.60,2.76%,2.63,72.33%,"Feb 04, 2021","Jan 14, 2021",2:1,"Nov 15, 1992","Dec 30, 2020","Dec 30, 2020",54.76%,24.98%,0.69%,5.81%,13.73B,32.15,1.70%,13.73B,,2.69B,16.97,5.50%,7.29B,17.19,37.2B,,,127.38,,,PNC,1323,,,,,,,,,,
1.32,23.18%,16.75%,125.28,62.20,115.03,100.23,793.41k,1.27M,108.87M,106.22M,2.95%,97.91%,2.59M,4.36,3.55%,2.31%,3.97M,,,,,,0.00%,,,2:1,"Sep 08, 2013","Dec 30, 2020","Dec 30, 2020",6.70%,14.88%,6.26%,31.40%,11.55B,96.42,0.20%,3.56B,2.35B,783.29M,6.31,-29.00%,345.06M,3.15,11.19B,386.43,1.27,12.59,1.98B,749.25M,DVA,1333,,,,,,,,,,
1.44,9.35%,16.75%,23.99,11.62,22.31,17.34,4.77M,2.56M,357M,320.91M,0.31%,111.46%,21.13M,4.4,6.81%,5.91%,24.04M,0.24,1.04%,0.24,1.04%,3.99,,"Mar 17, 2021","Mar 02, 2021",,,"Dec 30, 2019","Sep 29, 2020",-2.38%,9.45%,2.47%,-5.99%,6.31B,17.70,-3.30%,3.68B,954M,-150M,-0.42,,2.25B,6.3,10.54B,474.77,1.10,5.69,1.13B,621.12M,NLSN,1350,,,,,,,,,,
0.82,41.01%,16.75%,246.13,132.52,230.76,217.73,28.11M,20.71M,7.56B,7.43B,0.06%,71.84%,44.53M,1.39,0.59%,0.59%,39.2M,2.24,0.93%,2.14,0.88%,1.71,31.15%,"Mar 10, 2021","Feb 16, 2021",2:1,"Feb 17, 2003","Jun 29, 2020","Dec 30, 2020",33.47%,39.24%,12.81%,42.70%,153.28B,20.23,16.70%,96.94B,71.69B,51.31B,6.71,32.70%,131.99B,17.5,82.78B,63.56,2.58,17.26,68.03B,34.79B,MSFT,1358,,,,,,,,,,
2.90,1.87%,16.75%,22.23,4.25,19.70,16.38,11.28M,9.68M,884.01M,884.72M,0.32%,77.32%,31.2M,2.58,3.95%,3.51%,35.78M,0.18,0.89%,0.31,1.61%,2.54,,"Dec 22, 2020","Dec 01, 2020",2:1,"Jul 16, 2006","Dec 30, 2020","Dec 30, 2020",-20.39%,3.99%,1.57%,-45.23%,14.44B,16.40,-37.60%,1.54B,1.64B,-2.94B,-3.34,,2.56B,2.88,10.98B,220.31,2.14,5.62,1.88B,1.41B,HAL,1368,,,,,,,,,,
1.00,77.63%,16.75%,173.76,63.89,153.27,144.75,1.3M,1.43M,116.5M,115.93M,0.46%,92.30%,4.34M,3.44,4.21%,3.73%,4.93M,2.08,1.21%,1.50,0.88%,1.32,23.51%,"Mar 08, 2021","Feb 18, 2021",2:1,"Sep 26, 2013","Dec 25, 2020","Dec 25, 2020",7.05%,10.08%,10.85%,42.91%,10.62B,91.26,31.30%,3.76B,1.29B,748.96M,6.38,-5.70%,1.34B,11.52,3.54B,184.09,1.87,16.51,1.39B,902.1M,TSCO,1369,,,,,,,,,,
,-5.54%,16.75%,36.96,19.13,30.32,28.11,1.69M,1.07M,256.19M,481.25M,39.70%,60.03%,2.03M,0.89,1.31%,0.34%,2.18M,0.46,1.48%,0.46,1.48%,,18.04%,"Apr 06, 2021","Mar 08, 2021",,,"Jun 29, 2020","Dec 30, 2020",12.08%,22.29%,8.17%,14.59%,12.66B,21.00,8.20%,4.5B,3.13B,1.53B,2.53,-25.30%,4.5B,7.62,8.45B,76.00,3.81,18.46,2.86B,2.41B,FOX,1370,,,,,,,,,,
0.44,-8.63%,16.75%,87.80,65.25,79.01,81.00,9.79M,9.98M,2.53B,2.5B,0.08%,75.98%,18.58M,1.95,0.73%,0.73%,15.97M,2.6,3.50%,2.44,3.24%,2.94,89.21%,"Apr 06, 2021","Mar 11, 2021",2:1,"Feb 16, 1999","Dec 30, 2020","Dec 30, 2020",14.72%,30.77%,,25.63%,47.99B,18.89,5.40%,34.56B,18.14B,7.07B,2.78,,7.36B,2.91,28.74B,98.19,,11.54,,,MRK,1381,,,,,,,,,,
1.51,57.76%,16.75%,43.01,15.43,34.48,24.43,4.38M,4.08M,324.17M,2.22B,4.83%,87.63%,12.51M,2.01,4.90%,2.55%,6.9M,,,,,,0.00%,,,2:1,"Aug 06, 2014","Dec 30, 2019","Sep 29, 2020",13.36%,27.70%,5.57%,13.11%,10.66B,17.28,-4.40%,7.39B,4.29B,1.27B,1.80,14.50%,2.16B,0.65,15.49B,128.65,1.99,14.81,3.42B,5.78B,DISCK,1401,,,,,,,,,,
1.38,29.05%,16.75%,88.69,21.70,74.69,63.15,2.33M,2.91M,213.42M,142.66M,26.78%,76.32%,13.23M,5.54,9.48%,6.20%,13.8M,,,,,,0.00%,,,,,"Dec 30, 2019","Sep 29, 2020",-31.93%,-29.24%,-7.91%,-121.23%,4.51B,21.34,-95.10%,3.08B,-862.59M,-1.47B,-6.97,,2.63B,12.3,6.52B,1220.68,1.08,-0.47,-520.04M,-128.01M,LYV,1411,,,,,,,,,,
0.84,-4.11%,16.75%,41.32,21.00,31.45,29.06,3.88M,2.3M,288.17M,285.07M,0.98%,86.35%,33.98M,6.63,16.28%,11.79%,49.69M,2.47,7.69%,2.47,7.62%,6.93,537.83%,"Jan 05, 2021","Dec 13, 2020",1082:1000,"Sep 25, 2014","Dec 30, 2019","Sep 29, 2020",3.19%,19.32%,3.69%,10.34%,4.17B,14.48,-2.40%,2.43B,1.43B,132.98M,0.46,-64.30%,151.97M,0.53,11.09B,1107.94,0.60,3.25,945.73M,514.74M,IRM,1421,,,,,,,,,,
1.24,26.13%,16.75%,118.66,54.21,105.23,86.99,764.08k,746.8k,137.71M,122.66M,10.88%,73.15%,1.81M,2.28,1.92%,1.32%,1.78M,1.56,1.32%,1.50,1.29%,1.42,24.31%,"Jan 18, 2021","Jan 03, 2021",3:2,"Mar 22, 2006","Sep 29, 2020","Dec 30, 2020",10.82%,14.96%,1.84%,12.02%,7.97B,58.07,10.50%,7.26B,,861M,6.16,16.40%,15.4B,111.79,3.89B,52.24,2.94,53.60,5.41B,,RJF,1467,,,,,,,,,,
0.30,-21.91%,16.75%,30.10,19.56,22.31,22.95,2.9M,2.55M,383.21M,390.22M,0.36%,97.37%,3.92M,1.23,1.38%,1.02%,5.14M,0.88,3.85%,0.85,3.72%,2.95,,"Feb 18, 2021","Feb 07, 2021",2545:1000,"Jul 01, 2015","Dec 30, 2020","Dec 30, 2020",-0.38%,21.55%,2.82%,-0.24%,4.68B,12.18,-13.30%,2.04B,1.67B,-72.7M,-0.19,,116.5M,0.3,9.96B,170.56,0.73,12.44,1.1B,-717.45M,NI,1509,,,,,,,,,,
0.96,56.44%,16.75%,155.50,77.93,145.04,117.26,1.44M,1.43M,186.08M,185.42M,0.44%,90.76%,6.96M,4.16,4.90%,3.74%,9.41M,,,,,,0.00%,,,,,"Oct 30, 2020","Oct 30, 2020",14.85%,18.41%,7.02%,19.90%,4.22B,22.57,8.90%,2.53B,1.1B,627M,3.31,11.30%,1.76B,9.44,1.98B,60.21,3.12,17.83,1.02B,771.88M,KEYS,1512,,,,,,,,,,
1.52,64.87%,16.75%,76.50,20.01,70.85,58.41,2.04M,1.35M,250.18M,249.51M,0.47%,97.65%,2.44M,0.64,1.09%,0.98%,2.25M,,,,,,0.00%,,,2:1,"Mar 20, 2013","Dec 31, 2020","Dec 31, 2020",12.39%,14.25%,4.15%,11.63%,3.15B,12.57,0.70%,1.85B,646M,389.9M,1.55,-35.40%,237.7M,0.95,1.66B,46.03,0.98,14.34,672M,547.51M,TRMB,1543,,,,,,,,,,
0.99,47.80%,16.75%,2152.68,1013.54,1919.97,1697.29,1.57M,1.1M,329.87M,607.3M,5.86%,68.10%,2.53M,1.51,,0.37%,1.79M,,,,,,0.00%,,,10000000:10000000,"Apr 26, 2015","Dec 30, 2020","Dec 30, 2020",22.06%,22.58%,8.65%,19.00%,182.53B,268.10,23.50%,97.8B,54.9B,40.27B,58.61,42.70%,136.69B,202.77,27.87B,12.52,3.07,329.59,65.12B,35.91B,GOOG,1547,,,,,,,,,,
0.94,-20.01%,16.75%,424.20,266.11,338.39,366.88,1.75M,1.56M,279.78M,238.3M,0.08%,77.79%,2.77M,1.37,1.17%,0.99%,2.84M,10.4,3.10%,9.80,2.90%,2.54,40.00%,"Mar 23, 2021","Feb 25, 2021",2:1,"Jan 03, 1999","Dec 30, 2020","Dec 30, 2020",10.45%,13.57%,11.29%,149.59%,65.4B,233.56,7.30%,8.68B,10B,6.89B,24.30,19.60%,3.16B,11.28,13.28B,220.01,1.39,21.56,8.18B,4.72B,LMT,1557,,,,,,,,,,
1.89,-32.13%,16.75%,37.12,14.22,22.71,20.68,2.26M,1.92M,198.39M,161.01M,4.84%,89.60%,4.66M,2.05,3.24%,2.35%,3.34M,1,4.23%,1.00,4.29%,3.64,119.05%,"Jan 28, 2021","Dec 29, 2020",1:4,"Jun 14, 2017","Dec 30, 2020","Dec 30, 2020",2.73%,5.81%,1.71%,3.31%,7.02B,33.60,-21.00%,2.63B,776M,178M,0.85,-90.60%,2.62B,13.23,4.78B,82.22,2.33,28.19,548M,537M,XRX,1568,,,,,,,,,,
1.34,13.38%,16.75%,196.47,103.01,180.14,169.25,689.79k,1.19M,121.8M,121.42M,0.38%,91.23%,1.93M,3.42,1.79%,1.59%,1.44M,1.56,0.88%,1.56,0.88%,1.15,36.79%,"Mar 14, 2021","Feb 18, 2021",2:1,"Dec 17, 1995","Dec 30, 2020","Dec 30, 2020",12.60%,16.40%,4.83%,18.04%,4.13B,33.97,23.50%,2.39B,1.08B,520.1M,4.24,709.80%,1.68B,13.83,4.38B,136.39,1.00,26.01,946.2M,428M,EFX,1597,,,,,,,,,,
1.45,-15.78%,16.75%,55.38,17.51,40.91,35.60,12.9M,11.43M,637.73M,633.2M,0.35%,61.37%,13.4M,1.06,2.11%,2.10%,13.46M,,,0.40,0.91%,2.31,,"Mar 11, 2020","Feb 18, 2020",,,"Dec 30, 2020","Dec 30, 2020",-72.45%,-53.82%,-8.42%,-146.64%,17.1B,26.88,-65.30%,-5.17B,-7.21B,-12.39B,-19.49,,14.1B,22.17,36.65B,2389.05,1.09,2.41,-3.79B,-7.73B,DAL,1633,,,,,,,,,,
0.87,28.43%,16.75%,158.36,81.90,148.96,143.25,606.25k,607.41k,115.8M,115.14M,0.69%,88.34%,1.75M,2.8,1.74%,1.52%,1.78M,2.3,1.54%,2.23,1.49%,1.64,50.34%,"Apr 01, 2021","Mar 11, 2021",,,"Jun 29, 2020","Dec 30, 2020",11.07%,14.59%,9.24%,40.53%,4.68B,40.66,8.90%,1.26B,982.1M,518.6M,4.43,457.40%,366.2M,3.16,2.07B,144.26,1.37,12.38,670M,737.3M,BR,1636,,,,,,,,,,
0.23,-7.65%,16.75%,272.20,174.32,225.23,235.66,2.3M,1.49M,444.21M,442.82M,0.27%,93.09%,4.27M,1.76,1.12%,0.96%,4.71M,4.84,2.14%,4.33,1.90%,1.79,102.36%,"Feb 01, 2021","Dec 23, 2020",,,"Dec 30, 2019","Sep 29, 2020",24.08%,38.83%,4.71%,34.18%,7.84B,17.69,3.00%,5.36B,4.9B,1.89B,4.23,-6.90%,1.63B,3.66,31.69B,668.09,0.87,8.40,3.74B,3.33B,AMT,1641,,,,,,,,,,
1.38,57.12%,16.75%,321.13,125.38,301.98,264.81,1.42M,1.32M,219.89M,219.55M,0.17%,93.34%,1.95M,1.26,0.89%,0.88%,2.1M,,,,,,0.00%,,"Mar 21, 2005",2:1,"Dec 20, 2004","Jan 30, 2020","Oct 30, 2020",11.74%,16.40%,6.81%,,3.65B,16.63,13.00%,2.98B,691M,428.7M,1.93,98.20%,1.62B,7.35,2.1B,3028.72,0.83,0.31,1.48B,1.15B,ADSK,1642,,,,,,,,,,
1.09,-16.75%,16.75%,64.06,31.80,48.01,43.43,1.15M,1.06M,169.83M,167.38M,1.09%,97.12%,3.88M,3.02,3.15%,2.29%,3.42M,2.38,4.51%,2.38,4.45%,3.67,915.38%,"Apr 05, 2021","Mar 11, 2021",,,"Dec 30, 2020","Dec 30, 2020",4.28%,28.72%,1.70%,0.77%,1.05B,6.19,-5.40%,734.85M,606.32M,44.89M,0.26,-4.50%,376.07M,2.22,4.15B,68.55,1.96,35.37,499.12M,531.84M,REG,1651,,,,,,,,,,
1.97,-1.49%,16.75%,138.96,48.62,128.43,105.30,2.47M,2.6M,216.21M,162.82M,0.81%,93.00%,5.14M,1.63,2.39%,2.38%,6.05M,2.24,1.67%,2.09,1.57%,0.53,202.91%,"Apr 13, 2021","Mar 29, 2021",,,"Dec 30, 2019","Sep 29, 2020",2.27%,7.93%,2.05%,1.48%,7.65B,46.44,-23.00%,4.03B,2.31B,173M,1.04,,1.39B,8.47,3.5B,30.03,1.43,70.89,2.37B,71M,PXD,1670,,,,,,,,,,
1.63,35.45%,16.75%,46.48,17.00,41.92,39.86,2.57M,3.33M,244.52M,235.05M,0.39%,91.53%,13.16M,4.9,5.96%,5.38%,17.08M,0.68,1.56%,0.68,1.58%,1.59,33.25%,"Mar 14, 2021","Feb 25, 2021",2:1,"Dec 16, 2013","Dec 30, 2020","Dec 30, 2020",4.92%,6.15%,3.04%,9.78%,10.17B,47.50,53.40%,1.91B,1.19B,500M,2.34,62.70%,1.65B,6.99,3.79B,56.08,1.62,27.36,1.22B,635M,BWA,1690,,,,,,,,,,
1.55,20.05%,16.75%,47.78,17.01,44.49,40.30,1.81M,1.45M,417.66M,370.98M,0.29%,98.46%,4.45M,2.52,1.28%,1.07%,4.69M,,,2.12,4.96%,,0.00%,"Mar 30, 2020",,1252:1000,"Dec 01, 2013","Dec 30, 2019","Sep 29, 2020",-3.97%,5.82%,1.45%,-2.97%,4.01B,12.16,123.80%,911.7M,638M,-159.2M,-0.49,-28.60%,1.31B,3.14,4.04B,45.75,2.43,21.01,601.5M,179.4M,IR,1703,,,,,,,,,,
0.25,-13.56%,16.75%,103.79,62.13,91.32,89.25,2.92M,3.23M,735.96M,767.82M,0.10%,64.65%,7.22M,2.71,0.98%,0.98%,6.58M,3.86,4.37%,3.82,4.27%,4.22,223.39%,"Mar 15, 2021","Feb 10, 2021",1:3,"Jul 02, 2012","Dec 30, 2020","Dec 30, 2020",5.77%,22.75%,2.11%,2.21%,23.87B,32.38,-5.30%,11.47B,10.13B,1.26B,1.72,,259M,0.34,64.08B,130.28,0.53,59.82,8.86B,-2.32B,DUK,1716,,,,,,,,,,
1.04,16.82%,16.75%,53.60,31.71,50.79,47.57,17.23M,12.74M,4.57B,4.54B,0.67%,85.68%,78.77M,4.02,1.73%,1.72%,77.14M,1,1.92%,0.92,1.75%,1.80,40.35%,"Apr 27, 2021","Apr 05, 2021",2:1,"Feb 20, 2017","Dec 30, 2020","Dec 30, 2020",10.17%,16.89%,4.07%,12.01%,103.56B,22.64,-2.40%,70.44B,30.59B,10.53B,2.28,6.90%,11.74B,2.56,113.39B,121.90,0.93,19.72,24.74B,11.87B,CMCSA,1743,,,,,,,,,,
0.62,-10.44%,16.75%,110.73,46.07,89.10,81.73,955.57k,1.07M,160.9M,146.28M,6.85%,67.57%,6.47M,7.41,4.98%,4.02%,5.75M,2.52,2.62%,2.40,2.53%,2.66,32.04%,"Apr 14, 2021","Mar 15, 2021",105:100,"Apr 03, 2005","Dec 30, 2020","Dec 30, 2020",16.14%,20.61%,3.67%,11.77%,7.54B,46.79,25.20%,1.66B,1.64B,1.22B,7.49,67.60%,900M,5.59,899M,8.33,1.19,67.05,,,CINF,1761,,,,,,,,,,
2.69,-7.75%,16.75%,73.31,14.55,61.70,42.91,3.55M,2.16M,158M,156.91M,0.94%,94.99%,7.47M,2.29,6.24%,4.73%,7.11M,1.5,2.18%,1.50,2.30%,,,"Nov 18, 2020","Nov 09, 2020",,,"Dec 30, 2019","Sep 29, 2020",-142.55%,24.43%,2.16%,-33.55%,2.99B,18.83,-26.30%,3.1B,2.17B,-4.26B,-26.84,,92M,0.58,5.86B,54.92,0.45,60.51,2.6B,-758.12M,FANG,1764,,,,,,,,,,
1.03,22.62%,16.75%,27.68,12.54,25.69,21.45,8.62M,6.94M,1.37B,1.29B,0.22%,84.29%,16.55M,1.96,1.45%,1.28%,18.07M,0.78,2.86%,0.70,2.67%,3.20,35.24%,"Apr 06, 2021","Mar 08, 2021",2202:1000,"Nov 01, 2015","Oct 30, 2020","Oct 30, 2020",5.02%,6.92%,7.19%,,56.64B,40.08,-1.00%,10.44B,4.71B,2.84B,2.00,72.20%,5.14B,3.99,7.4B,,0.79,-1.71,4.32B,3.26B,HPQ,1784,,,,,,,,,,
2.23,233.54%,16.75%,37.67,4.82,30.46,21.44,21.45M,25.96M,1.46B,1.45B,0.77%,73.81%,17.25M,0.71,1.34%,1.19%,17.16M,,,0.05,0.15%,,12.20%,"Feb 02, 2020","Jan 13, 2020",2:1,"Feb 01, 2011","Dec 30, 2020","Dec 30, 2020",4.22%,16.43%,3.52%,4.79%,14.2B,9.77,14.90%,4.27B,4.06B,596M,0.41,"7,766.70%",3.75B,2.57,9.94B,53.24,2.72,6.98,3.02B,1.4B,FCX,1790,,,,,,,,,,
